2021-01-20 11:30:52.835[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.sp.producer.ProducerApplicationTests], using SpringBootContextLoader
2021-01-20 11:30:52.870[main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.sp.producer.ProducerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-01-20 11:30:52.871[main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.sp.producer.ProducerApplicationTests]: ProducerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-01-20 11:30:53.498[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.sp.producer.ProducerApplication for test class com.sp.producer.ProducerApplicationTests
2021-01-20 11:30:53.715[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-01-20 11:30:53.767[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1ebea008, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@72d6b3ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7de62196, org.springframework.test.context.support.DirtiesContextTestExecutionListener@163370c2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51bf5add, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7905a0b8, org.springframework.test.context.event.EventPublishingTestExecutionListener@35a3d49f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@389b0789, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13d9cbf5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@478db956, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6ca18a14, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@c667f46, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@51bd8b5c]
2021-01-20 11:30:54.491[main] INFO  com.sp.producer.ProducerApplicationTests - Starting ProducerApplicationTests on DESKTOP-2I89B4N with PID 16396 (started by yushu in D:\ProjectSpaces\spboot-kafka-producer)
2021-01-20 11:30:54.492[main] INFO  com.sp.producer.ProducerApplicationTests - No active profile set, falling back to default profiles: default
2021-01-20 11:30:55.764[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-20 11:30:55.766[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-20 11:30:55.895[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45ms. Found 0 Redis repository interfaces.
